name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Tex Mexico,Mexican,Mitte,4.8,209,NO_PRICE_DATA,True,True,True,False,True,10.08
Mama Rosas Taqueria,Mexican,Mitte,4.8,537,NO_PRICE_DATA,True,True,True,True,False,10.08
El Taco Loco,Mexican,Mitte,4.9,998,NO_PRICE_DATA,True,True,True,False,True,10.08
Samán Café Bar,Mexican,Mitte,4.7,120,NO_PRICE_DATA,True,True,True,False,False,10.08
LA PAZ,Mexican,Mitte,4.3,907,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
Pinatas Restaurant,Mexican,Mitte,4.2,63,NO_PRICE_DATA,True,True,True,False,False,10.08
Mishba,Mexican,Mitte,3.9,421,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,10.08
Berlin Burrito Company,Mexican,Mitte,4.4,1257,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Ranchero Mexikanisches & Argentinisches Restaurant,Mexican,Mitte,4.5,346,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
Chiapas Restaurant Tegel,Mexican,Mitte,4.8,219,NO_PRICE_DATA,True,False,True,False,True,10.08
Hola Mexico II,Mexican,Mitte,4.6,129,NO_PRICE_DATA,True,True,True,True,True,10.08
PocoLoco Cantina Mexicana,Mexican,Mitte,4.3,963,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
Dos Pescados I - Tegel,Mexican,Mitte,3.7,1767,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
Chaparro Cocina Mexicana,Mexican,Mitte,4.3,915,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Cancún Kreuzberg,Mexican,Mitte,4.8,1262,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Cancún Potsdamer Platz,Mexican,Mitte,4.5,484,PRICE_LEVEL_MODERATE,True,False,True,True,False,10.08
Mundo Tapas - Checkpoint Charlie,Mexican,Mitte,4.6,1449,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Timeless - Mexikanisches Restaurant Charlottenburg,Mexican,Mitte,4.4,232,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Vamos!,Mexican,Friedrichshain-Kreuzberg,4.3,1730,NO_PRICE_DATA,True,True,True,False,False,14.385
